Date,Close,High,Low,Open,Volume
2009-01-02,468.64654541015625,478.0890526877734,423.91887935828555,423.91887935828555,2720464
2009-01-05,455.22821044921875,500.9498211056905,449.51300911715975,471.37986638764625,3801470
2009-01-06,491.2588806152344,502.44079747294074,453.48885034031497,457.21615595955046,4659043
2009-01-07,450.50701904296875,499.4589676096895,442.3069464404216,496.7256100755072,6992026
2009-01-08,457.2161865234375,466.41020766548485,427.8947136920431,441.31301481827444,5496264
2009-01-09,459.2041015625,480.82247647372157,437.3372395833333,453.2404119318182,6098641
2009-01-12,422.1795349121094,450.7555481639591,418.9492029792916,450.7555481639591,3972849
2009-01-13,407.51873779296875,415.71880995587605,390.91979170580646,415.22183588539684,4675199
2009-01-14,377.9488830566406,409.2582579844097,368.75486026039096,409.2582579844097,4072405
2009-01-15,393.6034240722656,406.02777457959724,370.4941321286288,373.9729502706816,5524983
2009-01-16,415.9673156738281,420.9370566018309,403.2944763074212,404.785398585822,5886888
2009-01-19,414.22802734375,435.1009453382761,403.79156834648694,417.7068470095044,4313267
2009-01-20,408.26416015625,431.373452240566,402.0519848647672,412.4884393544583,3821684
2009-01-21,414.47637939453125,422.17947757272697,391.1185978219377,403.7914367602597,4349945
2009-01-22,423.9189147949219,445.2888014727432,416.21581610873045,423.67042774052857,3878333
2009-01-23,421.1856384277344,436.0948645667692,397.3308766052786,421.43412553005163,4188568
2009-01-26,449.2646484375,455.4768255453194,410.9976374533324,418.4522499827157,4217982
2009-01-27,445.7856750488281,453.2402849994774,426.155202178785,444.5432400570532,4203060
2009-01-28,453.2402648925781,461.6888224618477,430.379462058084,450.00993405726916,6069726
2009-01-29,444.04632568359375,449.51304038143314,423.1734150191159,447.2766570959534,6537574
2009-01-30,417.4582214355469,446.2827176775251,412.4884807041713,444.2948213849749,5538763
2009-02-02,404.536865234375,416.96121613223664,398.5731768034014,413.4823978808354,4790983
2009-02-03,420.68853759765625,424.41584301051205,394.8955720075386,410.9975435242312,3762023
2009-02-04,474.11334228515625,483.05887704525355,422.92500449126624,428.64020725466173,7426904
2009-02-05,476.5981750488281,484.3509590895623,448.27065056730237,464.17382220605367,5517517
2009-02-06,495.731689453125,498.96202126409776,475.604237400141,481.56792689732146,3391373
2009-02-09,490.7619323730469,497.9680569496638,471.6284291868572,493.2468029167079,4414068
2009-02-10,471.1315002441406,493.99231143742173,461.6889912730028,490.7619794209798,2589013
2009-02-11,476.8465270996094,478.3374490186285,455.97362023334193,465.9130996934693,3796034
2009-02-12,459.949462890625,475.1071707438547,443.79780698144583,475.1071707438547,3569500
2009-02-13,467.15570068359375,479.5800544251787,455.7252952413356,469.8890585067424,3140568
