Date,Close,High,Low,Open,Volume
2009-01-02,2089.16015625,2068.4952574466406,2068.4952574466406,2068.4952574466406,59924
2009-01-05,2117.508544921875,2117.508544921875,2117.508544921875,0.0,0
2009-01-06,2117.89794921875,2117.89794921875,2117.89794921875,0.0,0
2009-01-07,2015.1033935546875,2065.816607542328,2059.5011354596904,2064.3176984189945,62160
2009-01-08,1991.1905517578125,1991.1905517578125,1991.1905517578125,0.0,0
2009-01-09,1975.1324462890625,1974.1232930547615,1974.1232930547615,1974.1232930547615,43000
2009-01-12,1987.5439453125,1987.5439453125,1987.5439453125,0.0,0
2009-01-13,2039.5958251953125,2039.5958251953125,2039.5958251953125,0.0,0
2009-01-14,1966.4287109375,1959.8235331957173,1959.8235331957173,1959.8235331957173,38600
2009-01-15,1939.76806640625,1939.76806640625,1939.76806640625,0.0,0
2009-01-16,1957.0955810546875,1957.0955810546875,1957.0955810546875,0.0,0
2009-01-19,2015.8427734375,2024.526394237763,2003.5416685324358,2024.526394237763,11377
2009-01-20,2046.380126953125,2046.380126953125,2046.380126953125,0.0,0
2009-01-21,2055.5546875,2032.5714072247176,2032.5714072247176,2032.5714072247176,11426
2009-01-22,2058.492919921875,2091.8387858207752,2065.9374569408747,2091.8387858207752,12400
2009-01-23,2101.790771484375,2069.224379426028,2069.224379426028,2069.224379426028,553
2009-01-26,2104.7890625,2104.7890625,2104.7890625,0.0,0
2009-01-27,2071.222412109375,2072.531517852101,2072.531517852101,2072.531517852101,4
2009-01-28,2107.466796875,2097.1542310102,2097.1542310102,2097.1542310102,253
2009-01-29,2087.591064453125,2091.937755084049,2091.937755084049,2091.937755084049,1503
2009-01-30,2018.881103515625,2040.0257535373257,2040.0257535373257,2040.0257535373257,253
2009-02-02,2060.9609375,2060.9609375,2060.9609375,0.0,0
2009-02-03,2046.76953125,2046.76953125,2046.76953125,0.0,0
2009-02-04,2104.46923828125,2095.6455783640217,2067.835972700873,2067.835972700873,14838
2009-02-05,2073.610595703125,2051.2867588441172,2051.2867588441172,2051.2867588441172,953
2009-02-06,2115.6103515625,2115.6103515625,2115.6103515625,0.0,0
2009-02-09,2107.646484375,2109.595017864463,2109.595017864463,2109.595017864463,1044
2009-02-10,2087.0712890625,2108.2958338188637,2108.2958338188637,2108.2958338188637,2533
2009-02-11,2111.713134765625,2103.4691345944116,2103.4691345944116,2103.4691345944116,2709
2009-02-12,2109.205078125,2109.205078125,2109.205078125,2109.205078125,13881
2009-02-13,2123.864013671875,2127.951126672601,2127.951126672601,2127.951126672601,1505
2009-02-16,2092.37646484375,2092.37646484375,2092.37646484375,0.0,0
2009-02-17,2056.35400390625,2101.008527369896,2101.008527369896,2101.008527369896,8150
2009-02-18,2072.67138671875,2074.5101363189015,2064.77722995058,2064.77722995058,68127
2009-02-19,2029.99267578125,2029.99267578125,2029.99267578125,0.0,0
2009-02-20,2004.6312255859375,1993.549323900143,1993.549323900143,1993.549323900143,7450
2009-02-23,1944.43505859375,2006.13015484227,2006.13015484227,2006.13015484227,237
2009-02-24,1954.2476806640625,1962.3617700902903,1962.3617700902903,1962.3617700902903,235
2009-02-25,1996.0177001953125,1996.0177001953125,1996.0177001953125,0.0,0
2009-02-26,1994.40869140625,1994.40869140625,1994.40869140625,0.0,0
2009-02-27,1941.8865966796875,1950.1604815461594,1935.5911301689234,1950.1604815461594,20964
2009-03-02,1928.4761962890625,1928.4761962890625,1928.4761962890625,0.0,0
2009-03-03,1890.4039306640625,1903.6142850358335,1903.6142850358335,1903.6142850358335,50
2009-03-04,1940.767333984375,1904.313766657836,1904.313766657836,1904.313766657836,4750
2009-03-05,1891.0037841796875,1914.881426217783,1914.881426217783,1914.881426217783,162176
2009-03-06,1836.6431884765625,1836.6431884765625,1836.6431884765625,0.0,0
2009-03-09,1891.943359375,1891.943359375,1891.943359375,0.0,0
2009-03-10,1964.3504638671875,1948.5819102105297,1948.5819102105297,1948.5819102105297,135
2009-03-11,2005.9599609375,1994.1205560532992,1994.1205560532992,1994.1205560532992,15000
2009-03-12,2046.76953125,2033.5291730143454,1995.0571887069711,1995.0571887069711,28887
2009-03-13,2028.9730224609375,2068.494302984481,2054.5745038349173,2068.494302984481,2107
2009-03-16,2038.4666748046875,2052.4965051568593,2052.4965051568593,2052.4965051568593,12022
2009-03-17,2051.306884765625,2051.306884765625,2051.306884765625,0.0,0
2009-03-18,2104.8291015625,2103.7498084912672,2103.7498084912672,2103.7498084912672,17078
2009-03-19,2038.1370849609375,2074.1110330641523,2074.1110330641523,2074.1110330641523,20000
2009-03-20,2053.94580078125,2027.3651612524488,2027.3651612524488,2027.3651612524488,20000
2009-03-23,2099.14208984375,2099.14208984375,2099.14208984375,0.0,0
2009-03-24,2074.360595703125,2091.8278651617566,2074.360595703125,2091.8278651617566,22173
2009-03-25,2101.860595703125,2118.768459692814,2084.183515997983,2084.183515997983,34543
2009-03-26,2156.57080078125,2156.57080078125,2156.57080078125,0.0,0
2009-03-27,2174.398193359375,2175.447478874549,2170.7209367748096,2170.7209367748096,4665
2009-03-30,2093.36572265625,2093.36572265625,2093.36572265625,0.0,0
2009-03-31,2125.90283203125,2125.90283203125,2125.90283203125,0.0,0
2009-04-01,2118.85693359375,2107.7651571993724,2107.7651571993724,2107.7651571993724,2
2009-04-02,2173.838134765625,2173.838134765625,2173.838134765625,0.0,0
2009-04-03,2163.685546875,2163.685546875,2163.685546875,0.0,0
2009-04-06,2161.116943359375,2180.28316874558,2146.337661595974,2180.28316874558,3800
2009-04-07,2147.4169921875,2147.4169921875,2147.4169921875,0.0,0
2009-04-08,2169.38134765625,2169.38134765625,2169.38134765625,0.0,0
2009-04-09,2245.066162109375,2192.7743821207555,2192.7743821207555,2192.7743821207555,18240
2009-04-14,2195.06201171875,2195.06201171875,2195.06201171875,0.0,0
2009-04-15,2137.294677734375,2151.134459324858,2137.294677734375,2151.134459324858,273
2009-04-16,2201.848388671875,2199.1103899806285,2199.1103899806285,2199.1103899806285,1
2009-04-17,2238.701416015625,2238.701416015625,2238.701416015625,0.0,0
2009-04-20,2227.188720703125,2227.188720703125,2227.188720703125,0.0,0
2009-04-21,2225.119873046875,2233.603686188657,2212.269122299402,2212.269122299402,1101
2009-04-22,2304.44287109375,2304.44287109375,2304.44287109375,0.0,0
2009-04-23,2231.61572265625,2236.042432343852,2231.61572265625,2236.042432343852,113
2009-04-24,2295.4404296875,2295.4404296875,2295.4404296875,0.0,0
2009-04-27,2318.453125,2318.453125,2318.453125,0.0,0
2009-04-28,2311.297607421875,2288.5841598703223,2288.5841598703223,2288.5841598703223,81624
2009-04-29,2313.756103515625,2314.6255879351297,2314.6255879351297,2314.6255879351297,6450
2009-04-30,2351.378173828125,2358.752687647219,2351.378173828125,2358.752687647219,2636
2009-05-01,2302.3935546875,2302.3935546875,2302.3935546875,0.0,0
2009-05-05,2310.779052734375,2328.186312210859,2310.729040286333,2328.186312210859,3002
2009-05-06,2308.250244140625,2324.3986493794455,2324.3986493794455,2324.3986493794455,1624
2009-05-07,2279.601318359375,2354.396992927854,2332.8326055570774,2332.8326055570774,22117
2009-05-08,2257.9775390625,2257.9775390625,2257.9775390625,0.0,0
2009-05-11,2272.186767578125,2233.4849478686792,2233.4849478686792,2233.4849478686792,20812
2009-05-12,2212.699951171875,2218.615568450908,2212.699951171875,2218.615568450908,540
2009-05-13,2188.087158203125,2188.087158203125,2188.087158203125,0.0,0
2009-05-14,2197.670654296875,2197.670654296875,2190.4759391130738,2190.4759391130738,1860
2009-05-15,2208.013671875,2208.013671875,2208.013671875,0.0,0
2009-05-18,2202.08837890625,2202.08837890625,2202.08837890625,0.0,0
2009-05-19,2212.81982421875,2212.81982421875,2212.81982421875,0.0,0
2009-05-20,2221.54345703125,2224.7610865001857,2224.7610865001857,2224.7610865001857,200
2009-05-21,2137.404541015625,2171.1800109501437,2171.1800109501437,2171.1800109501437,20000
2009-05-22,2124.573974609375,2124.573974609375,2124.573974609375,0.0,0
2009-05-26,2168.43212890625,2158.279604380701,2134.117010747169,2134.117010747169,42073
2009-05-27,2190.445068359375,2179.25326648846,2179.25326648846,2179.25326648846,1000
2009-05-28,2165.833251953125,2173.8774448556255,2173.8774448556255,2173.8774448556255,20000
2009-05-29,2157.989990234375,2157.989990234375,2157.989990234375,0.0,0
2009-06-01,2205.5849609375,2180.1935259024735,2180.1935259024735,2180.1935259024735,3
2009-06-02,2202.51806640625,2202.51806640625,2202.51806640625,0.0,0
2009-06-03,2211.710693359375,2214.2986539521016,2188.1477610547086,2188.1477610547086,2500
2009-06-04,2248.68359375,2226.0099089280893,2226.0099089280893,2226.0099089280893,20000
2009-06-05,2292.841552734375,2294.1006462816595,2294.1006462816595,2294.1006462816595,990
2009-06-08,2268.459228515625,2268.459228515625,2268.459228515625,0.0,0
2009-06-09,2258.606689453125,2276.803410872489,2252.0614028257837,2276.803410872489,7296
2009-06-10,2236.212890625,2269.5985094357056,2269.5985094357056,2269.5985094357056,135
2009-06-11,2233.933837890625,2233.933837890625,2233.933837890625,0.0,0
2009-06-12,2203.945556640625,2203.945556640625,2203.945556640625,0.0,0
2009-06-15,2205.185302734375,2214.408571334436,2205.185302734375,2214.408571334436,7170
2009-06-16,2198.400390625,2198.400390625,2198.400390625,2198.400390625,500
2009-06-17,2196.66162109375,2196.66162109375,2174.6776176322055,2174.6776176322055,3363
2009-06-18,2200.68896484375,2200.68896484375,2200.68896484375,2200.68896484375,13677
2009-06-19,2201.71875,2208.3938268320435,2208.3938268320435,2208.3938268320435,500
2009-06-22,2155.93115234375,2178.0251821803604,2178.0251821803604,2178.0251821803604,5000
2009-06-23,2111.7001953125,2111.7001953125,2111.7001953125,2111.7001953125,16710
2009-06-24,2167.702392578125,2174.2076678556678,2167.702392578125,0.0,0
2009-06-25,2215.857421875,2222.492729872358,2215.857421875,0.0,0
